Player,Years,Total,Team,Breakdown,Order,,,,,Position,,,,,,,,,,,
"Starling Marte, OF PIT",2,9,LAD,,3,,,,OF PIT,OF,,,,,,,,,,,
"Starling Marte, OF PIT",2,18.1,NYM,"7.6,10.5",6,,,,OF PIT,OF,,,,0,0,0,0,7.6,10.5,,
"Starling Marte, OF PIT",4,22,OAK,,2,,,,OF PIT,OF,,,,,,,,,,,
"Starling Marte, OF PIT",1,2.3,PHI,,1,,,,OF PIT,OF,,,,,,,,,,,
"Starling Marte, OF PIT",1,3.8,PIT,,4,,,,OF PIT,OF,,,,,,,,,,,
"Starling Marte, OF PIT",2,7.94,SD,,15,,,,OF PIT,OF,,,,,,,,,,,
"Starling Marte, OF PIT",3,25,WAS,"9,8,8",7,,,,OF PIT,OF,,,,0,0,0,0,9,8,8,
"Adam Wainwright, SP STL",1,0.8,ATL,,13,,,,SP STL,SP,,,,,,,,,,,
"Adam Wainwright, SP STL",1,0.5,DET,,16,,,,SP STL,SP,,,,,,,,,,,
"Adam Wainwright, SP STL",1,0.5,NYM,,6,,,,SP STL,SP,,,,,,,,,,,
"Alex Wood, SP CIN",1,1,ATL,,13,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",3,12.27,BOS,"3.9,4.2,4.17",11,,,,SP CIN,SP,,,,0,0,0,0,3.9,4.2,4.17,
"Alex Wood, SP CIN",1,0.41,CHC,,9,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",3,5.4,CLE,,5,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",3,3.9,LAD,,3,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",2,5.5,NYM,,6,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",3,9,OAK,,2,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",1,1.78,PIT,,4,,,,SP CIN,SP,,,,,,,,,,,
"Alex Wood, SP CIN",2,5.94,SD,,15,,,,SP CIN,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",3,9,ARZ,,10,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",4,18.36,BOS,"4,4.75,4.8,4.81",11,,,,SP STL,SP,,,,0,0,0,0,4,4.75,4.8,4.81
"Carlos Martinez, SP STL",2,3.9,CHC,,9,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",5,7.5,NYM,,6,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",5,17.5,OAK,,2,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",5,6,PHI,,1,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",2,2.56,PIT,,4,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",2,7.94,SD,,15,,,,SP STL,SP,,,,,,,,,,,
"Carlos Martinez, SP STL",3,15,WAS,,7,,,,SP STL,SP,,,,,,,,,,,
"Chris Archer, SP PIT",2,9,ARZ,,10,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",3,8.25,ATL,,13,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",4,18.36,BOS,"4,4.75,4.8,4.81",11,,,,SP PIT,SP,,,,0,0,0,0,4,4.75,4.8,4.81
"Chris Archer, SP PIT",1,4.2,NYM,,6,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",4,2,OAK,,2,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",1,5.78,PIT,,4,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",2,7.94,SD,,15,,,,SP PIT,SP,,,,,,,,,,,
"Chris Archer, SP PIT",1,5,WAS,,7,,,,SP PIT,SP,,,,,,,,,,,
"Gio Gonzalez, SP MIL",1,0.85,NYM,,6,,,,SP MIL,SP,,,,,,,,,,,
"Jhoulys Chacin, SP MIL",2,4.2,ARZ,,10,,,,SP MIL,SP,,,,,,,,,,,
"Jhoulys Chacin, SP MIL",1,2.55,ATL,,13,,,,SP MIL,SP,,,,,,,,,,,
"Jhoulys Chacin, SP MIL",3,6.57,BOS,,8,,,,SP MIL,SP,,,,,,,,,,,
"Jhoulys Chacin, SP MIL",1,3.05,KC,,17,,,,SP MIL,SP,,,,,,,,,,,
"Jhoulys Chacin, SP MIL",1,2.97,SD,,15,,,,SP MIL,SP,,,,,,,,,,,
"Jon Lester, SP CHC",2,4,ARZ,,10,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,2.5,ATL,,13,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",2,2.38,BOS,,8,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,0.41,CHC,,9,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",2,3.8,CLE,,5,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,3.6,LAD,,3,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,4.5,NYM,,6,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,2.3,OAK,,2,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,2.78,PIT,,4,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,2.97,SD,,15,,,,SP CHC,SP,,,,,,,,,,,
"Jon Lester, SP CHC",1,5,WAS,,7,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",2,6,ARZ,,10,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",3,8.25,ATL,,13,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",4,18.36,BOS,"4,4.75,4.81,4.8",11,,,,SP CHC,SP,,,,0,0,0,0,4,4.75,4.81,4.8
"Kyle Hendricks, SP CHC",2,5.6,CLE,,5,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",2,6.4,LAD,,3,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",3,10.5,NYM,,6,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",3,12,OAK,,2,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",1,4.78,PIT,,4,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",2,9.94,SD,,15,,,,SP CHC,SP,,,,,,,,,,,
"Kyle Hendricks, SP CHC",2,10,WAS,,7,,,,SP CHC,SP,,,,,,,,,,,
"Tanner Roark, SP CIN",1,1.6,ARZ,,10,,,,SP CIN,SP,,,,,,,,,,,
"Tanner Roark, SP CIN",1,1.5,ATL,,13,,,,SP CIN,SP,,,,,,,,,,,
"Tanner Roark, SP CIN",3,7.17,BOS,"2.2,2.5,2.47",11,,,,SP CIN,SP,,,,0,0,0,0,2.2,2.5,2.47,
"Tanner Roark, SP CIN",1,0.41,CHC,,9,,,,SP CIN,SP,,,,,,,,,,,
"Tanner Roark, SP CIN",1,1.55,KC,,17,,,,SP CIN,SP,,,,,,,,,,,
"Tanner Roark, SP CIN",1,0.5,NYM,,6,,,,SP CIN,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,9,ARZ,,10,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,5.4,ATL,,13,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,13.17,BOS,"4,4.4,4.77",11,,,,SP CHC,SP,,,,0,0,0,0,4,4.4,4.77,
"Yu Darvish, SP CHC",1,0.41,CHC,,9,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,9.6,CLE,,5,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",1,0.5,DET,,16,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",1,4.6,LAD,,3,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,21,NYM,"6,7,8",6,,,,SP CHC,SP,,,,0,0,0,0,6,7,8,
"Yu Darvish, SP CHC",2,6,OAK,,2,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",1,2.78,PIT,,4,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",1,2.97,SD,,15,,,,SP CHC,SP,,,,,,,,,,,
"Yu Darvish, SP CHC",3,21,WAS,,7,,,,SP CHC,SP,,,,,,,,,,,
"Andrew Miller, RP STL",2,4,ARZ,,10,,,,RP STL,RP,,,,,,,,,,,
"Andrew Miller, RP STL",3,9.87,BOS,"3.5,3.37,3",11,,,,RP STL,RP,,,,0,0,0,0,3.5,3.37,3,
"Andrew Miller, RP STL",2,3.5,CHC,,9,,,,RP STL,RP,,,,,,,,,,,
"Andrew Miller, RP STL",2,2.4,CLE,"1,1.4",5,,,,RP STL,RP,,,,0,0,0,0,1,1.4,,
"Andrew Miller, RP STL",3,6.6,LAD,,3,,,,RP STL,RP,,,,,,,,,,,
"Andrew Miller, RP STL",2,8,NYM,"3.5,4.5",6,,,,RP STL,RP,,,,0,0,0,0,3.5,4.5,,
"Andrew Miller, RP STL",2,5.7,OAK,,2,,,,RP STL,RP,,,,,,,,,,,
"Andrew Miller, RP STL",1,0.77,SD,,15,,,,RP STL,RP,,,,,,,,,,,
"Andrew Miller, RP STL",2,4,WAS,,7,,,,RP STL,RP,,,,,,,,,,,
"Brad Brach, RP CHC",1,0.41,CHC,,9,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Kintzler, RP CHC",1,0.52,PHI,,1,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",1,2,ARZ,,10,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",2,4.38,BOS,,8,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",1,0.45,CHC,,9,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",1,2.5,NYM,,6,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",1,2.77,SD,,15,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Morrow, RP CHC",1,3,WAS,,7,,,,RP CHC,RP,,,,,,,,,,,
"Brandon Woodruff, RP MIL",5,4.45,BOS,,8,,,,RP MIL,RP,,,,,,,,,,,
"Brandon Woodruff, RP MIL",1,0.51,CHC,,9,,,,RP MIL,RP,,,,,,,,,,,
"Brandon Woodruff, RP MIL",5,3,LAD,,3,,,,RP MIL,RP,,,,,,,,,,,
"Brandon Woodruff, RP MIL",4,4,NYM,".8,1,1,1.2",6,,,,RP MIL,RP,,,,0,0,0,0,0.8,1,1,1.2
"Brandon Woodruff, RP MIL",5,4,OAK,,2,,,,RP MIL,RP,,,,,,,,,,,
"Jared Hughes, RP CIN",5,3.75,PHI,,1,,,,RP CIN,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",1,1,ARZ,,10,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",3,1.5,BOS,,8,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",2,3.9,CHC,,9,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",1,0.55,KC,,17,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",1,1.75,NYM,,6,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",3,3.6,OAK,,2,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",1,3.2,PHI,,1,,,,RP MIL,RP,,,,,,,,,,,
"Jeremy Jeffress, RP MIL",1,0.77,SD,,15,,,,RP MIL,RP,,,,,,,,,,,
