Player,Years,Total,Team,Breakdown,Order
"Francisco Cervelli, C PIT",5,3.75,PHI,,1
"Francisco Cervelli, C PIT",1,0.45,CHC,,9
"Francisco Cervelli, C PIT",1,0.75,NYY,,12
"Francisco Cervelli, C PIT",1,0.6,DET,,16
"Yadier Molina, C STL",1,0.8,PIT,,4
"Yadier Molina, C STL",1,0.59,BOS,,8
"Yadier Molina, C STL",2,0.9,CHC,,9
"Yadier Molina, C STL",1,0.75,NYY,,12
"Yadier Molina, C STL",2,2,DET,".9,1.1",16
"Yadier Molina, C STL",2,4.66,TB,,18
"Eric Thames, 1B MIL",1,1,ATL,,13
"Joey Votto, 1B CIN",1,5.5,OAK,,2
"Joey Votto, 1B CIN",1,4.6,LAD,,3
"Joey Votto, 1B CIN",2,6.4,CLE,,5
"Joey Votto, 1B CIN",1,4.5,NYM,,6
"Joey Votto, 1B CIN",2,12,WAS,,7
"Joey Votto, 1B CIN",2,8.02,BOS,,8
"Joey Votto, 1B CIN",2,9.5,CHC,,9
"Joey Votto, 1B CIN",3,12,ARZ,,10
"Joey Votto, 1B CIN",1,7,ATL,,13
"Joey Votto, 1B CIN",3,6,BAL,,14
"Joey Votto, 1B CIN",1,3.97,SD,,15
"Joey Votto, 1B CIN",4,14.2,KC,,17
"Joey Votto, 1B CIN",1,5.7,TB,,18
"Hernan Perez, 2B MIL",3,1.77,BOS,,11
"Hernan Perez, 2B MIL",1,0.4,DET,,16
"Scooter Gennett, 2B CIN",3,10.5,PHI,,1
"Scooter Gennett, 2B CIN",3,11.25,OAK,,2
"Scooter Gennett, 2B CIN",2,7,LAD,,3
"Scooter Gennett, 2B CIN",2,4.4,CLE,,5
"Scooter Gennett, 2B CIN",1,3.5,NYM,,6
"Scooter Gennett, 2B CIN",2,8,WAS,,7
"Scooter Gennett, 2B CIN",2,9.78,BOS,"5,4.78",8
"Scooter Gennett, 2B CIN",3,12,ARZ,,10
"Scooter Gennett, 2B CIN",3,5,BAL,,14
"Scooter Gennett, 2B CIN",2,7.94,SD,,15
"Jung Ho Kang, 3B PIT",1,0.5,ATL,,13
"Ben Zobrist, OF CHC",1,0.5,NYM,,6
"Lorenzo Cain, OF MIL",1,1.5,PHI,,1
"Lorenzo Cain, OF MIL",1,3.8,PIT,,4
"Lorenzo Cain, OF MIL",2,7.8,CLE,"3.5,4.3",5
"Lorenzo Cain, OF MIL",1,4.5,NYM,,6
"Lorenzo Cain, OF MIL",2,12,WAS,,7
"Lorenzo Cain, OF MIL",2,5.78,BOS,,8
"Lorenzo Cain, OF MIL",2,7.7,CHC,,9
"Lorenzo Cain, OF MIL",3,12,ARZ,,10
"Lorenzo Cain, OF MIL",1,4,ATL,,13
"Lorenzo Cain, OF MIL",1,3.97,SD,,15
"Lorenzo Cain, OF MIL",1,7.7,TB,,18
"Matt Kemp, OF CIN",1,2,ATL,,13
"Ryan Braun, OF MIL",1,4.5,NYM,,6
"Ryan Braun, OF MIL",1,4.5,WAS,,7
"Ryan Braun, OF MIL",2,2.98,BOS,,8
"Ryan Braun, OF MIL",2,0.84,CHC,,9
"Ryan Braun, OF MIL",1,1.8,NYY,,12
"Ryan Braun, OF MIL",1,2,ATL,,13
"Ryan Braun, OF MIL",1,2.97,SD,,15
"Starling Marte, OF PIT",1,2.3,PHI,,1
"Starling Marte, OF PIT",4,22,OAK,,2
"Starling Marte, OF PIT",2,9,LAD,,3
"Starling Marte, OF PIT",1,3.8,PIT,,4
"Starling Marte, OF PIT",3,13.2,CLE,"4,4.4,4.8",5
"Starling Marte, OF PIT",2,18.1,NYM,"7.6,10.5",6
"Starling Marte, OF PIT",3,25,WAS,"9,8,8",7
"Starling Marte, OF PIT",2,14.02,BOS,"6.5,7.52",8
"Starling Marte, OF PIT",3,17.55,CHC,,9
"Starling Marte, OF PIT",4,16,ARZ,,10
"Starling Marte, OF PIT",1,4,ATL,,13
"Starling Marte, OF PIT",3,6,BAL,,14
"Starling Marte, OF PIT",2,7.94,SD,,15
"Starling Marte, OF PIT",1,7.7,TB,,18
"Adam Wainwright, SP STL",1,0.5,NYM,,6
"Adam Wainwright, SP STL",1,0.8,ATL,,13
"Adam Wainwright, SP STL",1,0.5,DET,,16
"Alex Wood, SP CIN",3,9,OAK,,2
"Alex Wood, SP CIN",3,3.9,LAD,,3
"Alex Wood, SP CIN",1,1.78,PIT,,4
"Alex Wood, SP CIN",3,5.4,CLE,,5
"Alex Wood, SP CIN",2,5.5,NYM,,6
"Alex Wood, SP CIN",1,0.41,CHC,,9
"Alex Wood, SP CIN",3,12.27,BOS,"3.9,4.2,4.17",11
"Alex Wood, SP CIN",1,1,ATL,,13
"Alex Wood, SP CIN",2,5.94,SD,,15
"Alex Wood, SP CIN",1,2.13,TB,,18
"Carlos Martinez, SP STL",5,6,PHI,,1
"Carlos Martinez, SP STL",5,17.5,OAK,,2
"Carlos Martinez, SP STL",2,2.56,PIT,,4
"Carlos Martinez, SP STL",5,7.5,NYM,,6
"Carlos Martinez, SP STL",3,15,WAS,,7
"Carlos Martinez, SP STL",2,3.9,CHC,,9
"Carlos Martinez, SP STL",3,9,ARZ,,10
"Carlos Martinez, SP STL",4,18.36,BOS,"4,4.75,4.8,4.81",11
"Carlos Martinez, SP STL",2,7.94,SD,,15
"Chris Archer, SP PIT",4,2,OAK,,2
"Chris Archer, SP PIT",1,5.78,PIT,,4
"Chris Archer, SP PIT",1,4.2,NYM,,6
"Chris Archer, SP PIT",1,5,WAS,,7
"Chris Archer, SP PIT",2,9,ARZ,,10
"Chris Archer, SP PIT",4,18.36,BOS,"4,4.75,4.8,4.81",11
"Chris Archer, SP PIT",3,8.25,ATL,,13
