Player,Years,Total,Team,Breakdown,Order
"Chris Archer, SP PIT",2,7.94,SD,,15
"Chris Archer, SP PIT",2,10.6,TB,,18
"Gio Gonzalez, SP MIL",1,0.85,NYM,,6
"Jhoulys Chacin, SP MIL",3,6.57,BOS,,8
"Jhoulys Chacin, SP MIL",2,4.2,ARZ,,10
"Jhoulys Chacin, SP MIL",1,2.55,ATL,,13
"Jhoulys Chacin, SP MIL",1,2.97,SD,,15
"Jhoulys Chacin, SP MIL",1,3.05,KC,,17
"Jon Lester, SP CHC",1,2.3,OAK,,2
"Jon Lester, SP CHC",1,3.6,LAD,,3
"Jon Lester, SP CHC",1,2.78,PIT,,4
"Jon Lester, SP CHC",2,3.8,CLE,,5
"Jon Lester, SP CHC",1,4.5,NYM,,6
"Jon Lester, SP CHC",1,5,WAS,,7
"Jon Lester, SP CHC",2,2.38,BOS,,8
"Jon Lester, SP CHC",1,0.41,CHC,,9
"Jon Lester, SP CHC",2,4,ARZ,,10
"Jon Lester, SP CHC",1,2.5,ATL,,13
"Jon Lester, SP CHC",1,2.97,SD,,15
"Jon Lester, SP CHC",1,2.13,TB,,18
"Kyle Hendricks, SP CHC",3,12,OAK,,2
"Kyle Hendricks, SP CHC",2,6.4,LAD,,3
"Kyle Hendricks, SP CHC",1,4.78,PIT,,4
"Kyle Hendricks, SP CHC",2,5.6,CLE,,5
"Kyle Hendricks, SP CHC",3,10.5,NYM,,6
"Kyle Hendricks, SP CHC",2,10,WAS,,7
"Kyle Hendricks, SP CHC",2,6,ARZ,,10
"Kyle Hendricks, SP CHC",4,18.36,BOS,"4,4.75,4.81,4.8",11
"Kyle Hendricks, SP CHC",3,8.25,ATL,,13
"Kyle Hendricks, SP CHC",2,9.94,SD,,15
"Kyle Hendricks, SP CHC",1,2.13,TB,,18
"Tanner Roark, SP CIN",1,0.5,NYM,,6
"Tanner Roark, SP CIN",1,0.41,CHC,,9
"Tanner Roark, SP CIN",1,1.6,ARZ,,10
"Tanner Roark, SP CIN",3,7.17,BOS,"2.2,2.5,2.47",11
"Tanner Roark, SP CIN",1,1.5,ATL,,13
"Tanner Roark, SP CIN",1,1.55,KC,,17
"Yu Darvish, SP CHC",2,6,OAK,,2
"Yu Darvish, SP CHC",1,4.6,LAD,,3
"Yu Darvish, SP CHC",1,2.78,PIT,,4
"Yu Darvish, SP CHC",3,9.6,CLE,,5
"Yu Darvish, SP CHC",3,21,NYM,"6,7,8",6
"Yu Darvish, SP CHC",3,21,WAS,,7
"Yu Darvish, SP CHC",1,0.41,CHC,,9
"Yu Darvish, SP CHC",3,9,ARZ,,10
"Yu Darvish, SP CHC",3,13.17,BOS,"4,4.4,4.77",11
"Yu Darvish, SP CHC",3,5.4,ATL,,13
"Yu Darvish, SP CHC",1,2.97,SD,,15
"Yu Darvish, SP CHC",1,0.5,DET,,16
"Yu Darvish, SP CHC",1,2.13,TB,,18
"Andrew Miller, RP STL",2,5.7,OAK,,2
"Andrew Miller, RP STL",3,6.6,LAD,,3
"Andrew Miller, RP STL",2,2.4,CLE,"1,1.4",5
"Andrew Miller, RP STL",2,8,NYM,"3.5,4.5",6
"Andrew Miller, RP STL",2,4,WAS,,7
"Andrew Miller, RP STL",2,3.5,CHC,,9
"Andrew Miller, RP STL",2,4,ARZ,,10
"Andrew Miller, RP STL",3,9.87,BOS,"3.5,3.37,3",11
"Andrew Miller, RP STL",1,0.77,SD,,15
"Brad Brach, RP CHC",1,0.41,CHC,,9
"Brandon Kintzler, RP CHC",1,0.52,PHI,,1
"Brandon Morrow, RP CHC",1,2.5,NYM,,6
"Brandon Morrow, RP CHC",1,3,WAS,,7
"Brandon Morrow, RP CHC",2,4.38,BOS,,8
"Brandon Morrow, RP CHC",1,0.45,CHC,,9
"Brandon Morrow, RP CHC",1,2,ARZ,,10
"Brandon Morrow, RP CHC",1,2.77,SD,,15
"Brandon Woodruff, RP MIL",5,4,OAK,,2
"Brandon Woodruff, RP MIL",5,3,LAD,,3
"Brandon Woodruff, RP MIL",4,4,NYM,".8,1,1,1.2",6
"Brandon Woodruff, RP MIL",5,4.45,BOS,,8
"Brandon Woodruff, RP MIL",1,0.51,CHC,,9
"Jared Hughes, RP CIN",5,3.75,PHI,,1
"Jeremy Jeffress, RP MIL",1,3.2,PHI,,1
"Jeremy Jeffress, RP MIL",3,3.6,OAK,,2
"Jeremy Jeffress, RP MIL",1,1.75,NYM,,6
"Jeremy Jeffress, RP MIL",2,2,WAS,,7
"Jeremy Jeffress, RP MIL",3,1.5,BOS,,8
"Jeremy Jeffress, RP MIL",2,3.9,CHC,,9
"Jeremy Jeffress, RP MIL",1,1,ARZ,,10
"Jeremy Jeffress, RP MIL",1,0.77,SD,,15
"Jeremy Jeffress, RP MIL",1,0.55,KC,,17
"Jordan Lyles, RP PIT",1,0.5,NYM,,6
"Jordan Lyles, RP PIT",2,0.98,NYY,,12
"Jordan Lyles, RP PIT",2,3.94,SD,,15
"Michael Lorenzen, RP CIN",3,1.23,CHC,,9
"Pedro Strop, RP CHC",1,2.1,NYM,,6
"Pedro Strop, RP CHC",1,1,WAS,,7
"Pedro Strop, RP CHC",3,5.07,BOS,,8
"Pedro Strop, RP CHC",1,0.95,CHC,,9
"Pedro Strop, RP CHC",1,1.3,ARZ,,10
"Pedro Strop, RP CHC",1,0.55,SD,,15
"Pedro Strop, RP CHC",1,0.6,DET,,16
"Pedro Strop, RP CHC",1,0.55,KC,,17
"Richard Rodriguez, RP PIT",3,1.2,LAD,,3
"Richard Rodriguez, RP PIT",5,3.75,NYM,,6
"Steve Cishek, RP CHC",1,0.62,PHI,,1
"Steve Cishek, RP CHC",1,0.51,CHC,,9
