Player,Years,Total,Team,Breakdown,Order
"Gio Gonzalez, SP NYY",2,3,DET,,1
"Matt Kemp, OF CIN",2,0.8,BOS,,2
"Eric Thames, 1B MIL",2,0.8,BOS,,2
"Tyler Austin, 1B MIN",5,2.05,PIT,,3
"Enrique Hernandez, 2B LAD",2,1.04,LAD,,4
"John Gant, SP STL",5,2.05,PHI,,5
"Mark Melancon, RP SF",2,0.8,BOS,,6
"Edubray Ramos, RP PHI",4,1.6,PIT,,7
"Luis Cessa, RP NYY",4,1.6,PIT,,7
"Matt Shoemaker, SP TOR",1,0.5,ARZ,,8
"Gio Gonzalez, SP NYY",1,0.4,ARZ,,8
"Junior Guerra, RP MIL",3,1.2,PIT,,9
"Robbie Erlin, RP SD",3,1.2,PIT,,9
