Player,Years,Total,Team,Breakdown,Order
"Yuli Gurriel, 1B HOU",2,1.22,PIT,".49,.73",1
"Yuli Gurriel, 1B HOU",1,2.44,NYM,,2
"Yuli Gurriel, 1B HOU",5,3.75,PHI,,3
"Yuli Gurriel, 1B HOU",2,1.54,LAD,,4
"Yuli Gurriel, 1B HOU",2,6.8,DET,,5
"Evan Longoria, 3B SF",1,0.85,DET,,5
"CC Sabathia, SP NYY",1,0.45,DET,,5
"Yuli Gurriel, 1B HOU",1,0.44,ATL,,6
"Ben Zobrist, OF CHC",2,2.2,DET,,7
"Troy Tulowitzki, SS NYY",1,1.5,DET,,7
"Anthony Swarzak, RP SEA",2,0.8,CLE,,8
"Yuli Gurriel, 1B HOU",2,1.4,CLE,,8
"Yuli Gurriel, 1B HOU",1,1,ARZ,,9
"Evan Longoria, 3B SF",2,1,ARZ,,9
"CC Sabathia, SP NYY",1,1,ARZ,,9
"Anthony Swarzak, RP SEA",2,0.8,BOS,,10
"Nick Kingham, SP PIT",5,2.55,OAK,,11
"Yuli Gurriel, 1B HOU",2,1.6,OAK,,11
"Jed Lowrie, 2B NYM",1,0.65,OAK,,11
"Leury Garcia, OF CWS",4,2.2,TOR,,12
"CC Sabathia, SP NYY",1,0.41,CHC,,13
"Clay Buchholz, SP TOR",1,0.41,CHC,,13
"Brian McCann, C ATL",1,0.41,CHC,,13
"Yuli Gurriel, 1B HOU",2,0.82,CHC,,13
"Yuli Gurriel, 1B HOU",1,0.5,WAS,,14
"Evan Longoria, 3B SF",1,0.4,WAS,,14
"Nate Jones, RP CWS",1,0.4,WAS,,14
"Justin Wilson, RP NYM",1,0.4,WAS,,14
